test2020-01-09 14:29:01,650 - __main__ - INFO - Retrieving the-new-york-times from newsapi.org
2020-01-09 15:24:08,561 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:24:08,561 - headline_collector - INFO - requesting from 2019-12-23T00:00:00 to 2019-12-23T03:59:59
2020-01-09 15:24:08,561 - headline_collector - INFO - page: 1
2020-01-09 15:24:09,110 - headline_collector - INFO - collected data
2020-01-09 15:24:09,110 - headline_collector - INFO - requesting from 2019-12-23T04:00:00 to 2019-12-23T07:59:59
2020-01-09 15:24:09,110 - headline_collector - INFO - page: 1
2020-01-09 15:24:09,650 - headline_collector - INFO - collected data
2020-01-09 15:24:09,650 - headline_collector - INFO - requesting from 2019-12-23T08:00:00 to 2019-12-23T11:59:59
2020-01-09 15:24:09,651 - headline_collector - INFO - page: 1
2020-01-09 15:24:10,351 - headline_collector - INFO - collected data
2020-01-09 15:24:10,351 - headline_collector - INFO - page: 2
2020-01-09 15:24:11,043 - headline_collector - INFO - collected data
2020-01-09 15:24:11,044 - headline_collector - INFO - requesting from 2019-12-23T12:00:00 to 2019-12-23T15:59:59
2020-01-09 15:24:11,044 - headline_collector - INFO - page: 1
2020-01-09 15:24:11,776 - headline_collector - INFO - collected data
2020-01-09 15:24:11,777 - headline_collector - INFO - page: 2
2020-01-09 15:24:12,330 - headline_collector - INFO - collected data
2020-01-09 15:24:12,330 - headline_collector - INFO - requesting from 2019-12-23T16:00:00 to 2019-12-23T19:59:59
2020-01-09 15:24:12,330 - headline_collector - INFO - page: 1
2020-01-09 15:24:13,035 - headline_collector - INFO - collected data
2020-01-09 15:24:13,036 - headline_collector - INFO - page: 2
2020-01-09 15:24:13,604 - headline_collector - INFO - collected data
2020-01-09 15:24:13,604 - headline_collector - INFO - requesting from 2019-12-23T20:00:00 to 2019-12-23T23:59:59
2020-01-09 15:24:13,604 - headline_collector - INFO - page: 1
2020-01-09 15:24:14,275 - headline_collector - INFO - collected data
2020-01-09 15:24:14,276 - headline_collector - INFO - page: 2
2020-01-09 15:24:14,819 - headline_collector - INFO - collected data
2020-01-09 15:24:14,819 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:24:14,819 - headline_collector - INFO - requesting from 2019-12-24T00:00:00 to 2019-12-24T03:59:59
2020-01-09 15:24:14,819 - headline_collector - INFO - page: 1
2020-01-09 15:24:15,522 - headline_collector - INFO - collected data
2020-01-09 15:24:15,523 - headline_collector - INFO - page: 2
2020-01-09 15:24:16,216 - headline_collector - INFO - collected data
2020-01-09 15:24:16,217 - headline_collector - INFO - requesting from 2019-12-24T04:00:00 to 2019-12-24T07:59:59
2020-01-09 15:24:16,217 - headline_collector - INFO - page: 1
2020-01-09 15:24:16,783 - headline_collector - INFO - collected data
2020-01-09 15:24:16,783 - headline_collector - INFO - requesting from 2019-12-24T08:00:00 to 2019-12-24T11:59:59
2020-01-09 15:24:16,783 - headline_collector - INFO - page: 1
2020-01-09 15:24:17,457 - headline_collector - INFO - collected data
2020-01-09 15:24:17,458 - headline_collector - INFO - requesting from 2019-12-24T12:00:00 to 2019-12-24T15:59:59
2020-01-09 15:24:17,458 - headline_collector - INFO - page: 1
2020-01-09 15:24:18,185 - headline_collector - INFO - collected data
2020-01-09 15:24:18,186 - headline_collector - INFO - page: 2
2020-01-09 15:24:18,847 - headline_collector - INFO - collected data
2020-01-09 15:24:18,848 - headline_collector - INFO - page: 3
2020-01-09 15:24:19,440 - headline_collector - INFO - collected data
2020-01-09 15:24:19,441 - headline_collector - INFO - requesting from 2019-12-24T16:00:00 to 2019-12-24T19:59:59
2020-01-09 15:24:19,441 - headline_collector - INFO - page: 1
2020-01-09 15:24:20,113 - headline_collector - INFO - collected data
2020-01-09 15:24:20,114 - headline_collector - INFO - page: 2
2020-01-09 15:24:20,812 - headline_collector - INFO - collected data
2020-01-09 15:24:20,813 - headline_collector - INFO - page: 3
2020-01-09 15:24:21,505 - headline_collector - INFO - collected data
2020-01-09 15:24:21,505 - headline_collector - INFO - requesting from 2019-12-24T20:00:00 to 2019-12-24T23:59:59
2020-01-09 15:24:21,506 - headline_collector - INFO - page: 1
2020-01-09 15:24:22,225 - headline_collector - INFO - collected data
2020-01-09 15:24:22,226 - headline_collector - INFO - page: 2
2020-01-09 15:24:22,920 - headline_collector - INFO - collected data
2020-01-09 15:24:22,920 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:24:22,920 - headline_collector - INFO - requesting from 2019-12-24T00:00:00 to 2019-12-24T03:59:59
2020-01-09 15:24:22,920 - headline_collector - INFO - page: 1
2020-01-09 15:24:23,470 - headline_collector - INFO - collected data
2020-01-09 15:24:23,470 - headline_collector - INFO - requesting from 2019-12-24T04:00:00 to 2019-12-24T07:59:59
2020-01-09 15:24:23,470 - headline_collector - INFO - page: 1
2020-01-09 15:24:24,040 - headline_collector - INFO - collected data
2020-01-09 15:24:24,040 - headline_collector - INFO - requesting from 2019-12-24T08:00:00 to 2019-12-24T11:59:59
2020-01-09 15:24:24,041 - headline_collector - INFO - page: 1
2020-01-09 15:24:24,756 - headline_collector - INFO - collected data
2020-01-09 15:24:24,756 - headline_collector - INFO - page: 2
2020-01-09 15:24:25,449 - headline_collector - INFO - collected data
2020-01-09 15:24:25,450 - headline_collector - INFO - requesting from 2019-12-24T12:00:00 to 2019-12-24T15:59:59
2020-01-09 15:24:25,450 - headline_collector - INFO - page: 1
2020-01-09 15:24:26,140 - headline_collector - INFO - collected data
2020-01-09 15:24:26,140 - headline_collector - INFO - requesting from 2019-12-24T16:00:00 to 2019-12-24T19:59:59
2020-01-09 15:24:26,140 - headline_collector - INFO - page: 1
2020-01-09 15:24:26,840 - headline_collector - INFO - collected data
2020-01-09 15:24:26,840 - headline_collector - INFO - page: 2
2020-01-09 15:24:27,413 - headline_collector - INFO - collected data
2020-01-09 15:24:27,414 - headline_collector - INFO - requesting from 2019-12-24T20:00:00 to 2019-12-24T23:59:59
2020-01-09 15:24:27,414 - headline_collector - INFO - page: 1
2020-01-09 15:24:28,087 - headline_collector - INFO - collected data
2020-01-09 15:24:28,088 - headline_collector - INFO - page: 2
2020-01-09 15:24:28,628 - headline_collector - INFO - collected data
2020-01-09 15:24:28,628 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:24:28,628 - headline_collector - INFO - requesting from 2019-12-25T00:00:00 to 2019-12-25T03:59:59
2020-01-09 15:24:28,628 - headline_collector - INFO - page: 1
2020-01-09 15:24:29,309 - headline_collector - INFO - collected data
2020-01-09 15:24:29,309 - headline_collector - INFO - requesting from 2019-12-25T04:00:00 to 2019-12-25T07:59:59
2020-01-09 15:24:29,309 - headline_collector - INFO - page: 1
2020-01-09 15:24:29,849 - headline_collector - INFO - collected data
2020-01-09 15:24:29,849 - headline_collector - INFO - requesting from 2019-12-25T08:00:00 to 2019-12-25T11:59:59
2020-01-09 15:24:29,849 - headline_collector - INFO - page: 1
2020-01-09 15:24:30,509 - headline_collector - INFO - collected data
2020-01-09 15:24:30,510 - headline_collector - INFO - requesting from 2019-12-25T12:00:00 to 2019-12-25T15:59:59
2020-01-09 15:24:30,510 - headline_collector - INFO - page: 1
2020-01-09 15:24:31,209 - headline_collector - INFO - collected data
2020-01-09 15:24:31,210 - headline_collector - INFO - requesting from 2019-12-25T16:00:00 to 2019-12-25T19:59:59
2020-01-09 15:24:31,210 - headline_collector - INFO - page: 1
2020-01-09 15:24:31,866 - headline_collector - INFO - collected data
2020-01-09 15:24:31,867 - headline_collector - INFO - requesting from 2019-12-25T20:00:00 to 2019-12-25T23:59:59
2020-01-09 15:24:31,867 - headline_collector - INFO - page: 1
2020-01-09 15:24:32,537 - headline_collector - INFO - collected data
2020-01-09 15:24:32,537 - headline_collector - INFO - page: 2
2020-01-09 15:24:33,119 - headline_collector - INFO - collected data
2020-01-09 15:24:33,119 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:24:33,119 - headline_collector - INFO - requesting from 2019-12-25T00:00:00 to 2019-12-25T03:59:59
2020-01-09 15:24:33,119 - headline_collector - INFO - page: 1
2020-01-09 15:24:33,812 - headline_collector - INFO - collected data
2020-01-09 15:24:33,813 - headline_collector - INFO - requesting from 2019-12-25T04:00:00 to 2019-12-25T07:59:59
2020-01-09 15:24:33,813 - headline_collector - INFO - page: 1
2020-01-09 15:24:34,345 - headline_collector - INFO - collected data
2020-01-09 15:24:34,345 - headline_collector - INFO - requesting from 2019-12-25T08:00:00 to 2019-12-25T11:59:59
2020-01-09 15:24:34,346 - headline_collector - INFO - page: 1
2020-01-09 15:24:35,006 - headline_collector - INFO - collected data
2020-01-09 15:24:35,006 - headline_collector - INFO - page: 2
